name, code, section
삼성엔지니어링, A028050, 1
동아지질, A028100, 1
삼성물산, A028260, 1
삼성물산우B, A02826K, 1
팬오션, A028670, 1
케이씨, A029460, 1
신도리코, A029530, 1
삼성카드, A029780, 1
제일기획, A030000, 1
KT, A030200, 1
KTB투자증권, A030210, 1
교보증권, A030610, 1
동원수산, A030720, 1
비케이탑스, A030790, 1
신세계인터내셔날, A031430, 1
신세계푸드, A031440, 1
콤텍시스템, A031820, 1
롯데관광개발, A032350, 1
황금에스티, A032560, 1
LG유플러스, A032640, 1
삼성생명, A032830, 1
필룩스, A033180, 1
자화전자, A033240, 1
체시스, A033250, 1
유나이티드제약, A033270, 1
세종공업, A033530, 1
아주캐피탈, A033660, 1
KT&G, A033780, 1
무학, A033920, 1
두산중공업, A034020, 1
SBS, A034120, 1
LG디스플레이, A034220, 1
신세계건설, A034300, 1
NICE, A034310, 1
인천도시가스, A034590, 1
SK, A034730, 1
SK우, A03473K, 1
한국토지신탁, A034830, 1
지투알, A035000, 1
백산, A035150, 1
강원랜드, A035250, 1
NAVER, A035420, 1
신세계 I&C, A035510, 1
카카오, A035720, 1
제이콘텐트리, A036420, 1
한국가스공사, A036460, 1
S&T홀딩스, A036530, 1
엔씨소프트, A036570, 1
팜스코, A036580, 1
YG PLUS, A037270, 1
LG헬로비전, A037560, 1
광주신세계, A037710, 1
하나투어, A039130, 1
키움증권, A039490, 1
HDC아이콘트롤스, A039570, 1
상신브레이크, A041650, 1
대우조선해양, A042660, 1
두산인프라코어, A042670, 1
한미반도체, A042700, 1
주연테크, A044380, 1
KSS해운, A044450, 1
코스맥스비티아이, A044820, 1
대우건설, A047040, 1
포스코인터내셔널, A047050, 1
유니온머티리얼, A047400, 1
한국항공우주, A047810, 1
동원F&B, A049770, 1
우진플라임, A049800, 1
한전KPS, A051600, 1
진양화학, A051630, 1
LG생활건강, A051900, 1
LG생활건강우, A051905, 1
LG화학, A051910, 1
LG화학우, A051915, 1
한전기술, A052690, 1
스카이라이프, A053210, 1
한미글로벌, A053690, 1
테이팩스, A055490, 1
신한지주, A055550, 1
현대홈쇼핑, A057050, 1
포스코강판, A058430, 1
세아홀딩스, A058650, 1
다스코, A058730, 1
KTcs, A058850, 1
KTis, A058860, 1
한라홀딩스, A060980, 1
종근당바이오, A063160, 1
현대로템, A064350, 1
S&T모티브, A064960, 1
LG전자, A066570, 1
LG전자우, A066575, 1
세이브존I&C, A067830, 1
셀트리온, A068270, 1
삼성출판사, A068290, 1
SK렌터카, A068400, 1
휴켐스, A069260, 1
대호에이엘, A069460, 1
대웅제약, A069620, 1
한세엠케이, A069640, 1
DSR제강, A069730, 1
현대백화점, A069960, 1
용평리조트, A070960, 1
한국금융지주, A071050, 1
한국금융지주우, A071055, 1
하이스틸, A071090, 1
지역난방공사, A071320, 1
롯데하이마트, A071840, 1
코아스, A071950, 1
STX중공업, A071970, 1
유엔젤, A072130, 1
농심홀딩스, A072710, 1
금호타이어, A073240, 1
이엔플러스, A074610, 1
새론오토모티브, A075180, 1
세진중공업, A075580, 1
유니퀘스트, A077500, 1
STX엔진, A077970, 1
텔코웨어, A078000, 1
에이블씨엔씨, A078520, 1
GS, A078930, 1
GS우, A078935, 1
CJ CGV, A079160, 1
현대리바트, A079430, 1
LIG넥스원, A079550, 1
휴비스, A079980, 1
일진다이아, A081000, 1
휠라홀딩스, A081660, 1
동양생명, A082640, 1
HSD엔진, A082740, 1
그린케미칼, A083420, 1
대한제강, A084010, 1
동양고속, A084670, 1
이월드, A084680, 1
대상홀딩스, A084690, 1
대상홀딩스우, A084695, 1
TBH글로벌, A084870, 1
엔케이, A085310, 1
미래에셋생명, A085620, 1
현대글로비스, A086280, 1
하나금융지주, A086790, 1
한화생명, A088350, 1
진도, A088790, 1
HDC현대EP, A089470, 1
제주항공, A089590, 1
평화산업, A090080, 1
노루페인트, A090350, 1
노루페인트우, A090355, 1
메타랩스, A090370, 1
아모레퍼시픽, A090430, 1
아모레퍼시픽우, A090435, 1
세원셀론텍, A091090, 1
티웨이항공, A091810, 1
디아이씨, A092200, 1
KEC, A092220, 1
KPX홀딩스, A092230, 1
기신정기, A092440, 1
동양피스톤, A092780, 1
LF, A093050, 1
이아이디, A093230, 1
형지엘리트, A093240, 1
후성, A093370, 1
효성ITX, A094280, 1
AJ네트웍스, A095570, 1
웅진씽크빅, A095720, 1
JW홀딩스, A096760, 1
SK이노베이션, A096770, 1
SK이노베이션우, A096775, 1
한진중공업, A097230, 1
CJ제일제당, A097950, 1
CJ제일제당 우, A097955, 1
비상교육, A100220, 1
진양홀딩스, A100250, 1
S&TC, A100840, 1
SBS미디어홀딩스, A101060, 1
비티원, A101140, 1
해태제과식품, A101530, 1
동성코퍼레이션, A102260, 1
쌍방울, A102280, 1
이연제약, A102460, 1
풍산, A103140, 1
일진전기, A103590, 1
한국철강, A104700, 1
